Date,QQQ_Close,SMA_50,SMA_200,ATR,Signal,Action,TQQQ_Shares,SQQQ_Shares,Cash,Portfolio_Value
2022-04-05,361.1,349.0082,369.2337,7.096192857142865,100% Cash,Hold Cash (100%),0.0,0.0,10000.0,10000.0
2022-04-06,353.26,349.1712,369.26214999999996,7.316235714285723,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-07,354.1,349.3618,369.29395000000005,7.13195000000001,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-08,349.15,349.52279999999996,369.29025,7.038735714285723,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-11,340.89,349.3046,369.24739999999997,7.0990928571428595,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-12,339.45,348.8326,369.1761,7.368021428571426,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-13,346.35,348.44919999999996,369.1329,7.386871428571429,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-14,338.43,347.848,369.0529,7.603571428571432,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-18,338.69,347.5507999999999,368.9735,7.482785714285719,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-19,346.26,347.3158,368.9116,7.693500000000008,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-20,341.21,347.0374,368.81669999999997,7.8349285714285815,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-21,334.15,346.538,368.68270000000007,8.45992857142858,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-22,325.4,345.71139999999997,368.51585,8.858500000000008,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-25,329.58,345.1344,368.3587,8.859214285714293,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-26,317.14,344.536,368.1323,9.098857142857147,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-27,316.76,343.9214,367.90399999999994,8.908857142857146,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-28,328.01,343.35900000000004,367.7287,9.29957142857143,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-04-29,313.25,342.5032,367.49235,10.000285714285711,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-02,318.48,341.9638,367.29675000000003,10.033142857142861,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-03,318.82,341.51,367.1175,9.714214285714291,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-04,329.6,341.3404,366.97155,10.28771428571429,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-05,313.0,341.01199999999994,366.72875,11.08914285714286,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-06,309.25,340.38719999999995,366.45525000000004,11.42742857142857,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-09,297.15,339.4148,366.1,11.69590714285714,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-10,300.76,338.4939999999999,365.76135,11.809478571428567,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-11,291.84,337.501,365.3984,11.70019285714285,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-12,291.15,336.3796,365.025,11.71519285714285,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-13,301.94,335.5732,364.7023,12.027978571428568,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-16,298.44,334.79600000000005,364.37165,11.48547857142857,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-17,306.17,334.42220000000003,364.0795,11.502621428571429,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-18,291.14,333.77799999999996,363.70115,11.730478571428572,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-19,289.58,332.86979999999994,363.31235,11.11619285714286,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-20,288.68,332.01800000000003,362.9074,11.438692857142858,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-23,293.48,331.39959999999996,362.53455,11.537978571428571,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-24,287.24,330.781,362.1271,11.168764285714287,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-25,291.26,330.0432,361.7492,10.305192857142856,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-26,299.33,329.22339999999997,361.4148,10.36126428571429,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-27,309.1,328.5166,361.1226500000001,10.09635714285715,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-05-31,308.28,327.6524,360.81995,9.93992857142858,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-06-01,306.0,326.7708,360.50505000000004,9.638500000000006,100% Cash,Hold,0.0,0.0,10000.0,10000.0
2022-06-02,314.38,325.91920000000005,360.2483,9.663492857142861,100% Cash,Hold,0.0,0.0,10000.0,10000.0
