Date,Asset,Action,Quantity,Price,Amount,Portfolio_Value_Before,Portfolio_Value_After
2023-01-26,TQQQ,Buy,881.8342151675486,11.34,10000.0,10000.0,10000.0
2023-01-30,TQQQ,Sell,881.8342151675486,10.965,9669.31216931217,0.0,9669.31216931217
2023-01-31,TQQQ,Buy,844.1128039556675,11.455,9669.31216931217,9669.31216931217,9669.31216931217
2023-03-10,TQQQ,Sell,844.1128039556675,10.44,8812.537673297167,0.0,8812.537673297167
2023-03-13,TQQQ,Buy,826.3045169523833,10.665,8812.537673297167,8812.537673297167,8812.537673297167
2023-08-09,TQQQ,Sell,826.3045169523833,19.855,16406.276184089573,0.0,16406.276184089573
2023-08-14,TQQQ,Buy,812.3929776721749,20.195,16406.276184089573,16406.276184089573,16406.276184089573
2023-08-15,TQQQ,Sell,812.3929776721749,19.575,15902.592537932822,0.0,15902.592537932822
2023-08-29,TQQQ,Buy,384.3991428071748,20.685,7951.296268966411,15902.592537932822,15902.592537932822
2023-08-31,TQQQ,Sell,384.3991428071748,21.22,8156.949810368249,7951.296268966411,16108.24607933466
2023-08-31,TQQQ,Buy,759.1067897895693,21.22,16108.24607933466,16108.24607933466,16108.24607933466
2023-09-07,TQQQ,Sell,759.1067897895693,20.19,15326.366085851407,0.0,15326.366085851407
2023-09-08,TQQQ,Buy,756.8575844864893,20.25,15326.366085851407,15326.366085851407,15326.366085851407
2023-09-15,TQQQ,Sell,756.8575844864893,19.875,15042.544491668974,0.0,15042.544491668974
2023-10-10,TQQQ,Buy,390.51257766534195,19.26,7521.272245834487,15042.544491668974,15042.544491668974
2023-10-13,TQQQ,Sell,390.51257766534195,18.705,7304.53776523022,7521.272245834486,14825.810011064706
2023-10-16,TQQQ,Buy,383.39306984910024,19.335,7412.905005532353,14825.810011064706,14825.810011064706
2023-10-18,TQQQ,Sell,383.39306984910024,18.34,7031.428901032498,7412.905005532352,14444.33390656485
2023-11-03,TQQQ,Buy,384.3622646770849,18.79,7222.166953282425,14444.33390656485,14444.33390656485
2023-11-16,TQQQ,Sell,384.3622646770849,21.565,8288.772237761337,7222.166953282425,15510.939191043763
2023-11-16,TQQQ,Buy,719.2645115253309,21.565,15510.939191043763,15510.939191043763,15510.939191043763
2024-04-04,TQQQ,Sell,719.2645115253309,28.91,20793.937028197317,0.0,20793.937028197317
2024-04-05,TQQQ,Buy,694.7523230269735,29.93,20793.937028197317,20793.937028197317,20793.937028197317
2024-04-15,TQQQ,Sell,694.7523230269735,27.885,19373.16852760716,0.0,19373.16852760716
2024-05-06,TQQQ,Buy,330.82596529383807,29.28,9686.58426380358,19373.16852760716,19373.16852760716
2024-05-15,TQQQ,Sell,330.82596529383807,31.735,10498.762008599952,9686.58426380358,20185.34627240353
2024-05-15,TQQQ,Buy,636.0594382354981,31.735,20185.34627240353,20185.34627240353,20185.34627240353
2024-07-24,TQQQ,Sell,636.0594382354981,32.725,20815.045116256675,0.0,20815.045116256675
2024-08-15,TQQQ,Buy,608.0936347138964,34.23,20815.045116256675,20815.045116256675,20815.045116256675
2024-08-28,TQQQ,Sell,608.0936347138964,33.35,20279.922717708447,0.0,20279.922717708447
2024-08-30,TQQQ,Buy,295.5826077497223,34.305,10139.961358854223,20279.922717708447,20279.922717708447
2024-09-03,TQQQ,Sell,295.5826077497223,31.175,9214.787796597593,10139.961358854223,19354.749155451816
2024-09-12,TQQQ,Buy,291.13641930583356,33.24,9677.374577725908,19354.749155451816,19354.749155451816
2024-10-02,TQQQ,Sell,291.13641930583356,34.84,10143.192848615243,9677.374577725906,19820.56742634115
2024-10-02,TQQQ,Buy,568.9026241774153,34.84,19820.56742634115,19820.56742634115,19820.567426341153
2025-01-02,TQQQ,Sell,568.9026241774153,39.315,22366.40666953508,0.0,22366.40666953508
2025-01-03,TQQQ,Buy,542.8739482896864,41.2,22366.40666953508,22366.40666953508,22366.40666953508
2025-01-10,TQQQ,Sell,542.8739482896864,38.415,20854.502723548303,0.0,20854.502723548303
2025-01-15,TQQQ,Buy,515.6899783271094,40.44,20854.502723548303,20854.502723548303,20854.502723548303
2025-01-16,TQQQ,Sell,515.6899783271094,39.615,20429.05849142844,0.0,20429.05849142844
2025-01-17,TQQQ,Buy,491.4375388844946,41.57,20429.05849142844,20429.05849142844,20429.05849142844
2025-01-27,TQQQ,Sell,491.4375388844946,39.57,19446.18341365945,0.0,19446.18341365945
2025-01-28,TQQQ,Buy,470.5670517521948,41.325,19446.18341365945,19446.18341365945,19446.18341365945
2025-02-03,TQQQ,Sell,470.5670517521948,40.36,18992.08620871858,0.0,18992.08620871858
2025-02-04,TQQQ,Buy,454.08454772787996,41.825,18992.08620871858,18992.08620871858,18992.08620871858
2025-02-24,TQQQ,Sell,454.08454772787996,40.35,18322.311500819957,0.0,18322.311500819957
2025-05-12,TQQQ,Buy,277.1488655395546,33.055,9161.155750409978,18322.311500819957,18322.311500819957
2025-05-15,TQQQ,Sell,277.1488655395546,35.29,9780.583464890882,9161.15575040998,18941.739215300862
2025-05-15,TQQQ,Buy,536.7452313771851,35.29,18941.739215300862,18941.739215300862,18941.739215300862
2025-11-17,TQQQ,Sell,536.7452313771851,51.025,27387.425431020867,0.0,27387.425431020867
