"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"11/25/2025","603.51","608.42","597.32","607.2","0.3371","0.264","39,865,292"
"11/24/2025","595.28","606.68","595.16","605.16","2.5573","2.4843","60,168,150"
"11/21/2025","587.47","596.98","580.74","590.07","0.7513","0.6782","103,344,200"
"11/20/2025","611.62","614.03","584.75","585.67","-2.3672","-2.4402","117,743,200"
"11/19/2025","597.07","606.16","594.59","599.87","0.597","0.5239","73,111,490"
"11/18/2025","599.62","602.31","591.34","596.31","-1.2176","-1.2906","83,327,280"
"11/17/2025","606.3","612.48","599.87","603.66","-0.8541","-0.9271","63,850,370"
"11/14/2025","599.55","613.35","597.17","608.86","0.0756","0.0025","80,087,290"
"11/13/2025","617.54","618.12","606.08","608.4","-2.0416","-2.1147","71,333,630"
"11/12/2025","624.84","624.86","617.81","621.08","-0.0788","-0.1519","47,444,380"
"11/11/2025","620.57","622.72","617.52","621.57","-0.2664","-0.3394","44,868,840"
"11/10/2025","618.92","624.31","616.89","623.23","2.2124","2.1394","55,919,930"
"11/07/2025","608.31","609.95","598.67","609.74","-0.3155","-0.3886","81,835,390"
"11/06/2025","621.79","622.04","610.3","611.67","-1.8627","-1.9358","72,115,130"
"11/05/2025","618.49","626.6","617.21","623.28","0.6508","0.5777","48,688,480"
"11/04/2025","623.28","626.95","618.455","619.25","-2.0298","-2.1029","63,830,770"
"11/03/2025","635.11","635.82","629.85","632.08","0.4785","0.4054","37,154,310"
"10/31/2025","634.17","634.2","626.69","629.07","0.4824","0.4093","66,305,150"
"10/30/2025","632.17","633.5","625.94","626.05","-1.5289","-1.6019","61,628,620"
"10/29/2025","635.59","637.01","630.25","635.77","0.4503","0.3772","67,422,810"
"10/28/2025","630.36","634.68","629.25","632.92","0.769","0.6959","61,195,730"
"10/27/2025","624.52","628.55","624.03","628.09","1.7809","1.7078","54,098,610"
"10/24/2025","615.99","618.42","615.13","617.1","1.0678","0.9948","47,632,470"
"10/23/2025","604.91","611.37","604.52","610.58","0.8406","0.7676","42,844,300"
"10/22/2025","610.82","611.41","599.74","605.49","-0.9634","-1.0365","61,478,800"
"10/21/2025","611.64","612.7213","609.32","611.38","-0.0262","-0.0992","44,538,160"
"10/20/2025","607.14","612.8","607.065","611.54","1.2601","1.187","45,761,700"
"10/17/2025","597.95","605.51","596.37","603.93","0.6567","0.5836","72,024,870"
"10/16/2025","605.11","608.31","595.5","599.99","-0.3703","-0.4434","70,981,960"
"10/15/2025","604.01","606.7","595.93","602.22","0.7057","0.6326","62,805,460"
"10/14/2025","595.31","602.69","590.13","598","-0.6661","-0.7392","69,203,190"
"10/13/2025","599.68","602.95","597.23","602.01","2.1221","2.0491","65,872,580"
"10/10/2025","611.4","613.18","589.05","589.5","-3.4714","-3.5445","97,614,780"
"10/09/2025","611.48","611.61","607.48","610.7","-0.121","-0.1941","45,550,960"
"10/08/2025","605.41","611.75","605.26","611.44","1.1464","1.0733","50,629,750"
"10/07/2025","609.02","609.71","603.03","604.51","-0.5266","-0.5996","58,209,460"
"10/06/2025","608.45","609.36","605.97","607.71","0.751","0.678","41,962,120"
"10/03/2025","606.51","607.3255","601.385","603.18","-0.421","-0.494","46,482,100"
"10/02/2025","607.06","607.16","602.93","605.73","0.4111","0.338","43,765,410"
"10/01/2025","597.17","603.79","596.34","603.25","0.4797","0.4066","46,899,610"
"09/30/2025","598.43","600.71","596.1","600.37","0.2739","0.2008","46,533,810"
"09/29/2025","599.11","602.05","597.41","598.73","0.4631","0.39","48,332,930"
"09/26/2025","594.35","596.3","591.06","595.97","0.4111","0.338","54,337,420"
"09/25/2025","592.2","595.115","588.5","593.53","-0.4311","-0.5042","70,920,210"
"09/24/2025","599.58","599.9","593.36","596.1","-0.3511","-0.4241","49,850,300"
"09/23/2025","602.37","602.57","596.98","598.2","-0.6642","-0.7373","64,635,490"
"09/22/2025","597.74","602.87","597.72","602.2","0.4755","0.4024","57,154,770"
"09/19/2025","597.33","600.05","595.85","599.35","0.6769","0.6039","58,196,110"
"09/18/2025","594.91","598.14","592.96","595.32","0.9017","0.8286","61,069,290"
"09/17/2025","591.1","591.75","584.365","590","-0.1996","-0.2727","69,384,820"
"09/16/2025","592.61","592.86","590.49","591.18","-0.0845","-0.1576","36,942,130"
"09/15/2025","588.44","591.79","588.295","591.68","0.8557","0.7826","44,360,320"
"09/12/2025","585.04","587.86","584.1","586.66","0.4417","0.3687","50,745,890"
"09/11/2025","583.24","584.88","581.62","584.08","0.5821","0.509","44,745,770"
"09/10/2025","583.74","583.77","578.55","580.7","0.0327","-0.0403","49,307,960"
"09/09/2025","579.67","580.94","577.04","580.51","0.2833","0.2102","44,007,590"
"09/08/2025","578.37","580.84","577.77","578.87","0.4878","0.4147","46,371,350"
"09/05/2025","580.49","581.12","571.53","576.06","0.1443","0.0712","68,342,530"
"09/04/2025","570.74","575.6","569.025","575.23","0.9052","0.8321","47,526,280"
"09/03/2025","569.23","571.695","566.725","570.07","0.7867","0.7137","54,230,210"
"09/02/2025","561.31","565.965","559.535","565.62","-0.838","-0.9111","65,876,770"
"08/29/2025","574.655","575.03","568.54","570.4","-1.1576","-1.2306","56,030,410"
"08/28/2025","574.11","578","572.46","577.08","0.626","0.5529","46,787,860"
"08/27/2025","571.59","574.405","570.37","573.49","0.1537","0.0806","36,927,140"
"08/26/2025","569.83","572.92","568.8","572.61","0.4015","0.3285","34,103,010"
"08/25/2025","570.4","573.2871","569.16","570.32","-0.2885","-0.3615","34,044,750"
"08/22/2025","564.67","573.99","563.27","571.97","1.5427","1.4697","51,502,130"
"08/21/2025","564.35","566.49","560.98","563.28","-0.463","-0.536","46,436,900"
"08/20/2025","568.33","568.45","558.84","565.9","-0.5937","-0.6668","76,781,090"
"08/19/2025","576.39","576.56","568.25","569.28","-1.3568","-1.4298","53,752,640"
"08/18/2025","576.44","577.765","575.2412","577.11","-0.0398","-0.1129","29,830,960"
"08/15/2025","579.8","579.84","575.5743","577.34","-0.4397","-0.5128","49,480,160"
"08/14/2025","578.28","581.88","577.91","579.89","-0.0775","-0.1506","45,425,040"
"08/13/2025","582.76","583.3199","578.94","580.34","0.05","-0.0231","41,209,290"
"08/12/2025","575.16","580.35","572.485","580.05","1.2569","1.1838","42,271,440"
"08/11/2025","574.69","576.8","571.57","572.85","-0.2959","-0.369","33,112,920"
"08/08/2025","570.45","574.77","570.15","574.55","0.9328","0.8598","35,255,470"
"08/07/2025","571.67","573.32","565.11","569.24","0.3384","0.2654","44,462,970"
"08/06/2025","561.11","567.76","560.63","567.32","1.2583","1.1853","41,823,680"
"08/05/2025","565.39","566.5607","559.73","560.27","-0.679","-0.752","48,666,640"
"08/04/2025","559.05","564.315","558.95","564.1","1.8452","1.7721","47,669,750"
"08/01/2025","558.83","559.02","551.68","553.88","-1.9699","-2.0429","69,400,790"
"07/31/2025","574.54","574.63","563.87","565.01","-0.5299","-0.603","64,613,590"
"07/30/2025","568.18","570.62","565.05","568.02","0.134","0.0609","43,433,780"
"07/29/2025","570.76","572.11","566.53","567.26","-0.1549","-0.228","45,463,320"
"07/28/2025","567.74","569.04","566.87","568.14","0.3125","0.2394","31,498,740"
"07/25/2025","564.93","567.695","564.27","566.37","0.2407","0.1676","30,630,810"
"07/24/2025","565.13","566.24","563.295","565.01","0.2128","0.1398","42,275,540"
"07/23/2025","562.34","563.85","559.58","563.81","0.4561","0.3831","40,215,260"
"07/22/2025","564.3","564.35","558.61","561.25","-0.5176","-0.5906","43,270,650"
"07/21/2025","562.09","566.06","562.06","564.17","0.5185","0.4454","39,595,210"
"07/18/2025","563.12","564.7262","559.98","561.26","-0.0961","-0.1692","50,484,700"
"07/17/2025","558.02","562.31","557.21","561.8","0.8093","0.7362","40,423,780"
"07/16/2025","557.28","560.21","551.56","557.29","0.1024","0.0293","52,314,710"
"07/15/2025","560.25","560.8","556.66","556.72","0.0917","0.0186","43,277,660"
"07/14/2025","553.99","556.945","551.63","556.21","0.3627","0.2896","36,453,310"
"07/11/2025","553.3","555.79","552.05","554.2","-0.225","-0.2981","39,618,640"
"07/10/2025","556.89","557.3","552.75","555.45","-0.1438","-0.2169","34,710,910"
"07/09/2025","554.48","557.63","553.1","556.25","0.7079","0.6348","43,045,530"
"07/08/2025","553.38","554.01","551.1","552.34","0.0562","-0.0169","36,153,260"
"07/07/2025","553.52","554.34","549.58","552.03","-0.7533","-0.8264","45,349,320"
"07/03/2025","553.18","557.2","553.18","556.22","0.984","0.911","26,443,520"
"07/02/2025","546.16","551","546.12","550.8","0.6965","0.6235","36,538,280"
"07/01/2025","549.73","550.71","544.66","546.99","-0.8429","-0.916","56,166,740"
"06/30/2025","551.26","552.8","549.01","551.64","0.6477","0.5746","45,548,740"
"06/27/2025","547.26","549.99","544.545","548.09","0.3424","0.2693","57,577,150"
"06/26/2025","543.35","546.67","541.52","546.22","0.935","0.862","43,811,430"
"06/25/2025","542.06","543.31","539.38","541.16","0.2557","0.1826","44,804,170"
"06/24/2025","536.89","540.7","536.27","539.78","1.5292","1.4561","45,441,980"
"06/23/2025","526.81","532.17","523.65","531.65","0.9149","0.8418","50,666,150"
"06/20/2025","532.26","533.56","524.88","526.83","-0.4083","-0.4814","61,643,520"
"06/18/2025","530.1","532.55","527.4","528.99","-0.017","-0.0901","43,983,520"
"06/17/2025","531.71","533.325","527.91","529.08","-0.9751","-1.0482","42,180,870"
"06/16/2025","530.5","535.37","530.45","534.29","1.391","1.3179","37,622,050"
"06/13/2025","527.68","531.87","525.73","526.96","-1.2555","-1.3285","55,814,440"
"06/12/2025","531.09","534.6438","530.84","533.66","0.2348","0.1617","34,104,890"
"06/11/2025","535.62","536.78","530.11","532.41","-0.3369","-0.41","53,701,030"
"06/10/2025","531.17","534.9","528.89","534.21","0.6614","0.5883","40,664,800"
"06/09/2025","530.14","532.35","529.01","530.7","0.1472","0.0741","33,688,670"
"06/06/2025","530","531.8","528.21","529.92","0.9775","0.9045","42,467,020"
"06/05/2025","530.18","533.05","522.66","524.79","-0.7527","-0.8258","61,286,620"
"06/04/2025","528.01","529.84","525.9694","528.77","0.2788","0.2057","41,359,320"
"06/03/2025","523.56","528.74","522.69","527.3","0.7817","0.7086","44,070,330"
"06/02/2025","517.24","523.45","515.97","523.21","0.7898","0.7167","44,762,820"
"05/30/2025","519.44","520.68","511.93","519.11","-0.1577","-0.2308","67,662,840"
"05/29/2025","526.33","526.48","517.32","519.93","0.1966","0.1235","58,724,070"
"05/28/2025","522.18","523.68","518.39","518.91","-0.4432","-0.5163","46,637,180"
"05/27/2025","516.15","521.71","514.59","521.22","2.3525","2.2795","47,226,320"
"05/23/2025","506.18","511.84","505.58","509.24","-0.9261","-0.9991","58,368,080"
"05/22/2025","513.66","517.71","512.3","514","0.1871","0.1141","55,607,170"
"05/21/2025","516.27","523","511.24","513.04","-1.3897","-1.4627","71,292,830"
"05/20/2025","519.47","520.93","516.66","520.27","-0.3333","-0.4064","42,517,560"
"05/19/2025","514.24","522.53","514.24","522.01","0.0959","0.0228","52,536,150"
"05/16/2025","520.66","521.7","517.1","521.51","0.4352","0.3622","48,394,600"
"05/15/2025","516.52","521.93","515.17","519.25","0.1099","0.0368","50,153,280"
"05/14/2025","516.77","519.2279","515.75","518.68","0.5993","0.5262","47,014,520"
"05/13/2025","509.16","517.39","508.42","515.59","1.5241","1.451","53,269,570"
