"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"11/25/2025","73.79","76.0201","72.01","72.39","-1.0525","-0.8314","44,183,760"
"11/24/2025","77.16","77.2","72.56","73.16","-7.6379","-7.4168","56,920,230"
"11/21/2025","80.29","83.1","76.37","79.21","-2.1132","-1.8921","97,300,380"
"11/20/2025","71.15","81.2601","70.24","80.92","7.037","7.2581","58,191,750"
"11/19/2025","76.625","77.6","73.1115","75.6","-1.6905","-1.4694","2,000,000"
"11/18/2025","75.75","78.75","74.7","76.9","3.6388","3.8599","56,840,520"
"11/17/2025","73.25","75.5","71","74.2","2.699","2.9201","39,675,820"
"11/14/2025","75.625","76.45","70.65","72.25","-0.2072","0.0139","44,800,880"
"11/13/2025","69.35","73.1","69.15","72.4","6.2362","6.4573","34,726,220"
"11/12/2025","66.925","69.25","66.9","68.15","0.2943","0.5154","25,965,800"
"11/11/2025","68.275","69.275","67.6","67.95","0.816","1.0371","23,134,440"
"11/10/2025","68.975","69.6885","67.05","67.4","-6.5835","-6.3624","29,860,960"
"11/07/2025","72.675","76.05","72.075","72.15","1.0504","1.2715","45,688,640"
"11/06/2025","68.1","71.85","68.025","71.4","5.6995","5.9206","40,973,920"
"11/05/2025","69.2","69.65","66.5","67.55","-2.0305","-1.8094","27,921,060"
"11/04/2025","67.7","69.15","66.55","68.95","6.1586","6.3797","36,453,300"
"11/03/2025","64","65.65","63.75","64.95","-1.2918","-1.0707","23,038,440"
"10/31/2025","64.25","66.632","64.25","65.8","-1.4232","-1.2021","33,844,980"
"10/30/2025","64.9","66.75","64.5","66.75","4.6238","4.8449","35,392,720"
"10/29/2025","63.85","65.4935","63.4","63.8","-1.2384","-1.0173","29,582,280"
"10/28/2025","65.45","65.8","64.05","64.6","-2.2693","-2.0482","23,469,180"
"10/27/2025","67.35","67.5","65.95","66.1","-5.3009","-5.0798","22,024,480"
"10/24/2025","70.25","70.55","69.35","69.8","-3.0556","-2.8345","27,381,080"
"10/23/2025","74.1","74.2675","71.75","72","-2.6369","-2.4158","23,555,280"
"10/22/2025","72","75.9","71.8","73.95","3.0662","3.2873","34,936,080"
"10/21/2025","71.7","72.5","71.3","71.75","0.1396","0.3607","17,699,388"
"10/20/2025","73.35","73.35","71.25","71.65","-3.7609","-3.5398","20,891,760"
"10/17/2025","76.75","77.35","73.85","74.45","-1.8457","-1.6246","40,094,360"
"10/16/2025","74","77.541","72.75","75.85","1.066","1.2871","36,159,020"
"10/15/2025","74.35","77.45","73.3","75.05","-1.9595","-1.7384","31,972,740"
"10/14/2025","77.6","79.55","74.85","76.55","1.9308","2.1519","38,124,800"
"10/13/2025","76","77.041","74.7","75.1","-6.3007","-6.0796","31,876,580"
"10/10/2025","72.4","80.35","71.75","80.15","10.5517","10.7728","58,967,620"
"10/09/2025","72.25","73.65","72.2","72.5","0.4155","0.6366","22,504,300"
"10/08/2025","74.45","74.55","72.1","72.2","-3.4114","-3.1903","21,926,420"
"10/07/2025","73.15","75.3","72.9","74.75","1.6315","1.8526","22,724,580"
"10/06/2025","73.35","74.225","72.95","73.55","-2.2591","-2.038","20,712,160"
"10/03/2025","74","75.925","73.7","75.25","1.4151","1.6362","24,836,420"
"10/02/2025","73.75","75.25","73.7","74.2","-1.1326","-0.9115","20,235,900"
"10/01/2025","77.4","77.745","74.9","75.05","-1.4445","-1.2234","22,497,580"
"09/30/2025","76.95","77.8","76.05","76.15","-0.7171","-0.496","21,445,240"
"09/29/2025","76.6","77.28","75.5","76.7","-1.3505","-1.1294","20,127,720"
"09/26/2025","78.5","79.8","77.7","77.75","-1.2071","-0.986","20,720,120"
"09/25/2025","79.2","80.65","78.05","78.7","1.3522","1.5733","32,496,180"
"09/24/2025","76.35","78.75","76.2","77.65","-0.4487","-0.2276","20,499,600"
"09/23/2025","76.45","78.5","76.35","78","2.0275","2.2486","20,372,040"
"09/22/2025","78.2","78.2","76.2105","76.45","-1.672","-1.4509","17,420,292"
"09/19/2025","78.65","79.2","77.5","77.75","-1.9546","-1.7335","20,087,740"
"09/18/2025","79.5","80.35","78.15","79.3","-2.6994","-2.4783","25,518,220"
"09/17/2025","81.05","83.801","80.8","81.5","0.6794","0.9005","31,903,840"
"09/16/2025","80.4","81.3","80.3","80.95","0.3098","0.5309","13,062,160"
"09/15/2025","82.15","82.1585","80.7","80.7","-2.5362","-2.3151","17,396,786"
"09/12/2025","83.6","83.95","82.3","82.8","-1.1933","-0.9722","15,036,726"
"09/11/2025","84.2","84.95","83.5","83.8","-1.7009","-1.4798","18,179,016"
"09/10/2025","83.95","86.25","83.9","85.25","-0.0586","0.1625","19,231,854"
"09/09/2025","85.75","86.889","85.15","85.3","-0.814","-0.5928","15,150,782"
"09/08/2025","86.25","86.55","85.121","86","-1.4327","-1.2116","15,905,558"
"09/05/2025","85.25","89.3495","84.95","87.25","-0.2287","-0.0076","25,967,920"
"09/04/2025","89.65","90.45","87.35","87.45","-2.7793","-2.5582","16,979,728"
"09/03/2025","90.35","91.55","89.1","89.95","-2.2283","-2.0072","20,334,840"
"09/02/2025","94.05","94.95","91.9","92","2.507","2.7281","23,109,080"
"08/29/2025","87.85","90.6","87.675","89.75","3.6973","3.9184","19,268,638"
"08/28/2025","87.95","88.725","86.15","86.55","-1.8151","-1.594","16,521,686"
"08/27/2025","89.05","89.65","87.8","88.15","-0.3955","-0.1744","13,012,556"
"08/26/2025","89.9","90.375","88.4","88.5","-1.2277","-1.0066","12,747,236"
"08/25/2025","89.55","90.1495","88.2005","89.6","0.9577","1.1789","13,476,772"
"08/22/2025","92.4","93.1","87.8","88.75","-4.5186","-4.2975","27,113,640"
"08/21/2025","92.5","94.1","91.4","92.95","1.4184","1.6395","21,477,000"
"08/20/2025","90.55","95","90.45","91.65","1.8333","2.0544","31,209,940"
"08/19/2025","86.825","90.5","86.7175","90","4.1064","4.3275","23,100,220"
"08/18/2025","86.775","87.3","86.15","86.45","0.1158","0.3369","15,083,124"
"08/15/2025","85.25","87.1","85.25","86.35","1.5285","1.7496","21,603,460"
"08/14/2025","85.75","85.95","84.2","85.05","0.2948","0.5159","23,794,240"
"08/13/2025","83.8","85.45","83.55","84.8","-0.1178","0.1033","18,463,336"
"08/12/2025","87.2","88.45","84.8","84.9","-3.8505","-3.6294","22,782,540"
"08/11/2025","87.4","88.85","86.45","88.3","1.0297","1.2509","16,418,610"
"08/08/2025","89.375","89.5","87.3","87.4","-2.6455","-2.4244","20,717,020"
"08/07/2025","88.7","91.8","87.85","89.775","-0.9653","-0.7441","24,443,500"
"08/06/2025","93.8","94.0995","90.45","90.65","-3.7686","-3.5475","23,645,200"
"08/05/2025","91.7","94.5","91.1","94.2","2.1138","2.3349","22,758,980"
"08/04/2025","94.95","95.044","92.15","92.25","-5.4816","-5.2605","23,359,080"
"08/01/2025","95.2","98.85","95.1","97.6","5.9718","6.1929","36,714,800"
"07/31/2025","87.5","92.6","87.45","92.1","1.768","1.9891","25,819,980"
"07/30/2025","90.5","92.05","89.35","90.5","-0.3853","-0.1641","20,937,520"
"07/29/2025","89.25","91.2995","88.6","90.85","0.4978","0.7189","18,188,818"
"07/28/2025","90.65","91.1","90","90.4","-0.9315","-0.7104","12,938,156"
"07/25/2025","91.975","92.3","90.65","91.25","-0.545","-0.3239","13,551,098"
"07/24/2025","91.8","92.7","91.2","91.75","-0.6497","-0.4286","15,184,848"
"07/23/2025","93.1","94.5","92.35","92.35","-1.2827","-1.0616","17,298,860"
"07/22/2025","92.125","94.9","92.1","93.55","1.5744","1.7955","18,302,130"
"07/21/2025","93.15","93.15","91.2","92.1","-1.4973","-1.2762","15,911,722"
"07/18/2025","92.6","94.15","92.5","93.5","0.4296","0.6507","16,246,758"
"07/17/2025","95.075","95.5","92.9","93.1","-2.3597","-2.1386","16,407,062"
"07/16/2025","95.45","98.35","95.1","95.35","-0.3136","-0.0925","22,175,600"
"07/15/2025","93.9","95.7","93.5505","95.65","-0.2607","-0.0396","17,153,884"
"07/14/2025","97.05","98.3","95.5","95.9","-0.9809","-0.7598","13,871,544"
"07/11/2025","97.4","98.001","96.05","96.85","0.8329","1.054","15,072,064"
"07/10/2025","95.4","97.5","95.15","96.05","0.4182","0.6393","12,744,372"
"07/09/2025","96.65","97.35","94.95","95.65","-2.0481","-1.827","16,401,484"
"07/08/2025","97.15","98.3495","96.8","97.65","-0.1534","0.0677","14,744,724"
"07/07/2025","97.025","99.05","96.625","97.8","2.2478","2.4689","17,744,180"
"07/03/2025","97.225","97.25","95.1","95.65","-2.6958","-2.4747","12,419,726"
"07/02/2025","100.85","100.9255","98.25","98.3","-2.0429","-1.8217","15,493,182"
"07/01/2025","98.925","101.65","98.4","100.35","2.5549","2.776","17,809,946"
"06/30/2025","98.1","99.3","97.25","97.85","-1.8556","-1.6345","11,948,676"
"06/27/2025","100.275","101.75","98.75","99.7","-0.993","-0.7719","18,066,796"
"06/26/2025","102.3","103.4","100.45","100.7","-2.7053","-2.4842","13,589,544"
"06/25/2025","103","104.5995","102.3","103.5","-1.9422","-1.7211","13,692,442"
