"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"11/25/2025","50.64","51.89","49.08","51.6","1.018","0.8111","77,293,112"
"11/24/2025","48.7","51.45","48.67","51.08","7.5821","7.3752","93,894,160"
"11/21/2025","46.85","49.1","45.24","47.48","2.2174","2.0105","179,618,600"
"11/20/2025","52.95","53.54","46.23","46.45","-7.1464","-7.3533","178,246,300"
"11/19/2025","49.325","51.575","48.715","50.025","1.7182","1.5113","184,263,520"
"11/18/2025","49.985","50.67","47.9","49.18","-3.6159","-3.8228","267,348,000"
"11/17/2025","51.705","53.314","50.055","51.025","-2.5683","-2.7752","186,327,040"
"11/14/2025","49.99","53.545","49.385","52.37","0.0764","-0.1305","222,397,600"
"11/13/2025","54.785","54.94","51.7","52.33","-6.1766","-6.3835","201,264,400"
"11/12/2025","56.765","56.77","54.865","55.775","-0.2058","-0.4127","125,708,380"
"11/11/2025","55.635","56.21","54.8","55.89","-0.8251","-1.032","102,665,540"
"11/10/2025","55.215","56.625","54.705","56.355","6.5513","6.3444","119,878,760"
"11/07/2025","52.51","52.9218","49.98","52.89","-1.0385","-1.2454","183,589,380"
"11/06/2025","56.185","56.25","53.06","53.445","-5.6076","-5.8145","156,461,380"
"11/05/2025","55.34","57.5","54.97","56.62","1.9445","1.7376","109,730,040"
"11/04/2025","56.68","57.7049","55.3216","55.54","-6.119","-6.3259","124,762,780"
"11/03/2025","60","60.2088","58.54","59.16","1.3708","1.1639","83,597,920"
"10/31/2025","59.745","59.745","57.69","58.36","1.4163","1.2094","122,666,880"
"10/30/2025","59.295","59.67","57.515","57.545","-4.5767","-4.7837","127,234,280"
"10/29/2025","60.285","60.685","58.77","60.305","1.2763","1.0694","133,060,880"
"10/28/2025","58.825","60.0378","58.53","59.545","2.2846","2.0777","92,239,440"
"10/27/2025","57.26","58.345","57.135","58.215","5.3093","5.1024","77,489,440"
"10/24/2025","54.995","55.63","54.765","55.28","3.1151","2.9082","84,387,660"
"10/23/2025","52.135","53.815","52.04","53.61","2.5048","2.2979","91,245,000"
"10/22/2025","53.725","53.87","50.79","52.3","-2.9414","-3.1484","134,380,740"
"10/21/2025","53.9475","54.24","53.335","53.885","-0.1112","-0.3181","79,811,460"
"10/20/2025","52.805","54.26","52.775","53.945","3.7504","3.5434","79,928,840"
"10/17/2025","50.46","52.385","50.06","51.995","1.901","1.6941","142,274,020"
"10/16/2025","52.34","53.165","49.875","51.025","-1.1143","-1.3213","159,343,960"
"10/15/2025","52.07","52.755","50.02","51.6","2.0469","1.8399","127,069,380"
